id,name,switch_to_order_menu,average_cost_for_two,price_range,currency,aggregate_rating,votes,rating_id,services_id
18400770,Capital Kitchen - Taj Palace Hotel,0,2000,4,Rs.,3.7,42,243,392
305296,The Treat,0,500,2,Rs.,2.1,138,737,351
1898,Frontier - The Ashok,0,3600,4,Rs.,3.7,101,243,392
1900,The Oudh - The Ashok,0,3700,4,Rs.,3.6,100,243,392
823,Al Kuresh,0,850,2,Rs.,3.3,85,975,360
2702,The Tea Lounge - Taj Palace Hotel,0,1500,3,Rs.,4.0,76,932,351
847,Laguna,0,900,2,Rs.,3.4,60,975,351
2587,Chimney,0,800,2,Rs.,2.9,66,975,392
2745,Golf Bar - ITC Maurya,0,3500,4,Rs.,3.5,45,243,351
7620,Kolkata Hot Kathi Roll,0,150,1,Rs.,3.2,35,975,351
302936,Ashirbad,0,100,1,Rs.,3.6,46,243,351
1358,Viva Hyderabad,0,600,2,Rs.,2.3,38,737,360
3632,Punjabi Zaika,0,500,2,Rs.,2.9,39,975,360
309080,Chulha Punjabi Da,0,600,2,Rs.,2.4,41,737,360
300984,Roll n Roast,0,250,1,Rs.,3.3,27,975,351
311637,The Singing Tree,0,100,1,Rs.,3.7,33,243,351
1712,Republic of Chicken,0,400,1,Rs.,2.7,29,975,351
18175256,Bunty Dhaba,0,500,2,Rs.,3.2,26,975,351
7613,Yummi Kolkataa,0,150,1,Rs.,3.2,17,975,351
309756,Khatey Raho,0,250,1,Rs.,3.3,26,975,351
18354627,Royal Chick 'N',0,300,1,Rs.,3.3,18,975,360
18355107,Tibb's Frankie,0,250,1,Rs.,3.2,16,975,351
7623,Gopal's Restaurant & Caterer's,0,300,1,Rs.,2.7,22,975,351
18239781,Aristocrat Sweet Shop,0,300,1,Rs.,3.1,7,975,351
7602,Rabi Snacks Corner,0,300,1,Rs.,3.4,18,975,351
18175328,Wazwaan Restaurant,0,1200,3,Rs.,3.2,14,975,392
18429374,Roller's High,0,500,2,Rs.,3.2,13,975,351
301522,Royal Kolkata Biryani,0,500,2,Rs.,2.7,14,975,351
18459885,Shepherd's,0,250,1,Rs.,3.1,9,975,351
304735,Raro,0,800,2,Rs.,3.7,304,243,351
310816,NYC.PIE,0,900,2,Rs.,3.8,306,243,320
3039,Nizam's Kathi Kabab,0,900,2,Rs.,3.8,303,243,360
2437,28 Capri Italy,0,1500,3,Rs.,3.9,245,243,320
18161723,Ek Bar,0,1700,3,Rs.,4.1,242,932,320
18232097,Hwealthcafe,0,800,2,Rs.,4.1,223,932,320
18350143,Desi Vibes,0,1500,3,Rs.,4.0,183,932,320
3492,Concept,0,600,2,Rs.,3.9,301,243,351
566,Hong Kong Express,0,700,2,Rs.,3.8,196,243,360
311661,Döner Grill,0,900,2,Rs.,3.8,192,243,360
134,Moti Mahal Delux,0,1000,3,Rs.,3.8,130,243,320
18415346,Cafe Yell,0,1000,3,Rs.,4.4,50,932,392
17953931,Meraki Cafe & Bar,0,1400,3,Rs.,3.6,139,243,320
18400744,Number 31,0,1600,3,Rs.,4.2,63,932,320
18247032,Moets Oh! Bao,0,1200,3,Rs.,3.6,99,243,320
730,Moets Curry Leaf,0,1500,3,Rs.,3.5,208,243,320
