id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
18336180,"DT Mega Mall, 3rd Floor, DLF Phase 1, Gurgaon","DT Mega Mall, DLF Phase 1",Gurgaon,28.4757509,77.0931234,,1,"DT Mega Mall, DLF Phase 1, Gurgaon",1
311061,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DT Mega Mall, DLF Phase 1",Gurgaon,28.4757154539,77.0931441709,,1,"DT Mega Mall, DLF Phase 1, Gurgaon",1
1284,"H-6, Qutab Plaza, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1",Gurgaon,28.4720383,77.1022654,0,1,"Qutab Plaza, DLF Phase 1, Gurgaon",1
1655,"S 135, Shopping Mall, Market Road, Arjun Marg, DLF Phase 1, Gurgaon","Shopping Mall, DLF Phase 1",Gurgaon,28.4658854,77.0993432,0,1,"Shopping Mall, DLF Phase 1, Gurgaon",1
18138457,"Pillar No. 12, Opposite Sikanderpur Rapid Metro Station,DLF Phase 1 Road",DLF Phase 1,Gurgaon,28.481301,77.092856,,1,"DLF Phase 1, Gurgaon",1
311579,"5, Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1",Gurgaon,28.4757449253,77.0931287482,,1,"DLF Mega Mall, DLF Phase 1, Gurgaon",1
226,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1",Gurgaon,28.4757758703,77.0930831507,0,1,"DLF Mega Mall, DLF Phase 1, Gurgaon",1
18391156,"First Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1",Gurgaon,28.4758106465,77.0933661237,,1,"DLF Mega Mall, DLF Phase 1, Gurgaon",1
303709,"Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1",Gurgaon,28.4762630314,77.0933396369,,1,"DLF Mega Mall, DLF Phase 1, Gurgaon",1
18397469,"Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon","Shopping Mall, DLF Phase 1",Gurgaon,28.4662158,77.0987074,,1,"Shopping Mall, DLF Phase 1, Gurgaon",1
301737,"A 6, Qutab Plaza, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1",Gurgaon,28.4715383,77.1017259,,1,"Qutab Plaza, DLF Phase 1, Gurgaon",1
631,"Upper Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1",Gurgaon,28.4754894078,77.0935951173,0,1,"DLF Mega Mall, DLF Phase 1, Gurgaon",1
6804,"H 5, Qutab Plaza Market, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1",Gurgaon,28.472128,77.1022654,0,1,"Qutab Plaza, DLF Phase 1, Gurgaon",1
18458663,"H-8, Qutab Plaza, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1",Gurgaon,28.4720297,77.1021755,,1,"Qutab Plaza, DLF Phase 1, Gurgaon",1
307309,"2nd Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4953121,77.0883732,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
306133,"11, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4952975,77.0886879,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
309883,"Shop 108, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4951096,77.088598,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
